Id,TaskNo,ResponseId,Difficulty,Optimized query,avg_rows_optimized,Initial Query,avg_rows_initial,avg_rows_diff_deepseek_initial,Queries equal with order on test dataset,Queries equil without order on test dataset,ORDER BY clause in initial query,ORDER BY clause in optimazed query,Leetcode equivalence status,Final equivalence status,Status,Comment
11,175,58,Easy,"SELECT person.firstname, person.lastname, address.city, address.state 
FROM schema_175.person 
LEFT JOIN schema_175.address ON person.personid = address.personid;",136887,"select person.firstname, person.lastname, address.city, address.state from schema_175.address right outer join schema_175.person on person.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
12,175,69,Easy,"SELECT a.firstname, a.lastname, b.city, b.state 
FROM schema_175.person a 
LEFT JOIN schema_175.address b ON a.personid = b.personid",136887,"select a.firstname, a.lastname, b.city, b.state from schema_175.person as a left outer join schema_175.address as b on a.personid = b.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
13,175,79,Easy,"SELECT p.firstname, p.lastname, address.city, address.state 
FROM schema_175.person AS p 
LEFT OUTER JOIN schema_175.address ON p.personid = address.personid",136887,"select p.firstname, p.lastname, address.city, address.state from schema_175.person as p left outer join schema_175.address on p.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
14,175,82,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a ON a.personid = p.personid",136887,"select p.firstname, p.lastname, a.city, a.state from schema_175.person as p left outer join schema_175.address as a on a.personid = p.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
15,175,91,Easy,"SELECT p.lastname, p.firstname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a USING (personid)",136887,"select p.lastname, p.firstname, a.city, a.state from schema_175.person as p left outer join schema_175.address as a on p.personid = a.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
16,175,96,Easy,"SELECT firstname, lastname, city, state FROM schema_175.person LEFT JOIN schema_175.address ON person.personid = address.personid;",136887,"select firstname, lastname, city, state from schema_175.address right outer join schema_175.person on person.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
17,175,114,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a ON p.personid = a.personid",136887,"select firstname, lastname, city, state from schema_175.person as p left outer join schema_175.address as a on (1 = 1 and p.personid = a.personid)",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
18,175,137,Easy,"SELECT firstname, lastname, city, state FROM schema_175.person p LEFT JOIN schema_175.address a USING (personid)",136887,"select firstname, lastname, city, state from schema_175.person as p left outer join schema_175.address as a on a.personid = p.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
19,175,141,Easy,"SELECT firstname, lastname, city, state FROM schema_175.person p LEFT JOIN schema_175.address ad ON p.personid = ad.personid",136887,"select firstname, lastname, city, state from schema_175.person as p left outer join schema_175.address as ad on p.personid = ad.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
20,175,142,Easy,"SELECT b.firstname, b.lastname, a.city, a.state FROM schema_175.person b LEFT JOIN schema_175.address a ON b.personid = a.personid;",136887,"select firstname, lastname, city, state from schema_175.address as a right outer join schema_175.person as b on a.personid = b.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
21,175,162,Easy,"SELECT person.firstname, person.lastname, address.city, address.state 
FROM schema_175.person 
LEFT JOIN schema_175.address ON person.personid = address.personid",136887,"select person.firstname, person.lastname, address.city, address.state from schema_175.address right outer join schema_175.person on address.personid = person.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
22,175,164,Easy,"SELECT person.firstname, person.lastname, address.city, address.state 
FROM schema_175.person 
LEFT JOIN schema_175.address USING (personid);",136887,"select person.firstname, person.lastname, address.city, address.state from schema_175.person left outer join schema_175.address on address.personid = person.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
23,175,184,Easy,"SELECT city, firstname, lastname, state 
FROM schema_175.address 
RIGHT OUTER JOIN schema_175.person ON address.personid = person.personid",136887,"select city, firstname, lastname, state from schema_175.person left outer join schema_175.address on person.personid = address.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
24,175,186,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a ON a.personid = p.personid",136887,"select firstname, lastname, a.city as city, a.state as state from schema_175.person as p left outer join schema_175.address as a on a.personid = p.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
25,175,195,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a USING (personid)",136887,"select p.firstname, p.lastname, city, state from schema_175.person as p left outer join schema_175.address as a on p.personid = a.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
26,175,197,Easy,"SELECT p.firstname, p.lastname, a.city, a.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address a USING (personid)",136887,"select p.firstname as firstname, p.lastname as lastname, a.city as city, a.state as state from schema_175.person as p left outer join schema_175.address as a on p.personid = a.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
27,175,219,Easy,"SELECT p.firstname, p.lastname, e.city, e.state 
FROM schema_175.person p 
LEFT JOIN schema_175.address e USING (personid);",136887,"select p.firstname, p.lastname, e.city, e.state from schema_175.person as p left outer join schema_175.address as e on p.personid = e.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
28,175,225,Easy,"SELECT person.firstname, person.lastname, address.city, address.state 
FROM schema_175.person 
LEFT OUTER JOIN (
    SELECT DISTINCT ON (personid) personid, city, state 
    FROM schema_175.address
) address ON person.personid = address.personid 
ORDER BY person.personid",100000,"select person.firstname, person.lastname, address.city, address.state from schema_175.person left outer join schema_175.address on person.personid = address.personid order by person.personid",136887,-36887,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Non-equivalent queries,"These two queries may return different results if multiple address records exist for the same person. The initial query returns all matching addresses, while the optimized uses DISTINCT ON to return only one address per person, which may vary depending on the internal row order unless explicitly ordered."
29,175,226,Easy,"SELECT t1.firstname, t1.lastname, t2.city, t2.state 
FROM schema_175.person t1 
LEFT JOIN schema_175.address t2 ON t1.personid = t2.personid",136887,"select t1.firstname, t1.lastname, t2.city, t2.state from schema_175.person as t1 left outer join schema_175.address as t2 on t1.personid = t2.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
30,175,228,Easy,"SELECT x.firstname, x.lastname, y.city, y.state 
FROM schema_175.person x 
LEFT JOIN schema_175.address y ON x.personid = y.personid;",136887,"select x.firstname, x.lastname, y.city, y.state from schema_175.person as x left outer join schema_175.address as y on x.personid = y.personid",136887,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
33,178,113,Medium,"SELECT 
    a.score, 
    (SELECT COUNT(DISTINCT b.score) + 1 
     FROM schema_178.scores b 
     WHERE b.score > a.score) AS rank 
FROM schema_178.scores a 
ORDER BY rank",100000,"select a.score, b.count as rank from schema_178.scores as a left outer join (select t1.score, count(distinct t2.score) as count from schema_178.scores as t1 left outer join schema_178.scores as t2 on t2.score >= t1.score group by t1.score) as b on a.score = b.score order by b.count",100000,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Equivalent query,
40,178,237,Medium,"SELECT 
    score,
    DENSE_RANK() OVER (ORDER BY score DESC) AS rank
FROM 
    schema_178.scores",100000,"select s1.score as score, count(distinct s2.score) as rank from schema_178.scores as s1 join schema_178.scores as s2 on s1.score <= s2.score group by s1.id, s1.score order by s1.score desc",100000,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Equivalent query,
43,178,326,Medium,"SELECT 
    s.score, 
    (SELECT COUNT(DISTINCT s2.score) FROM schema_178.scores s2 WHERE s2.score >= s.score) AS rank 
FROM 
    schema_178.scores s 
ORDER BY 
    s.score DESC;",100000,"select s.score, count(distinct s2.score) as rank from schema_178.scores as s join schema_178.scores as s2 on s2.score >= s.score group by s.id, s.score order by s.score desc",100000,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Equivalent query,
44,178,334,Medium,"SELECT 
    s1.score, 
    (SELECT COUNT(DISTINCT s2.score) 
     FROM schema_178.scores s2 
     WHERE s2.score >= s1.score) AS rank 
FROM schema_178.scores s1 
ORDER BY s1.score DESC, s1.id",100000,"select s1.score, count(distinct s2.score) as rank from schema_178.scores as s1 join schema_178.scores as s2 on s1.score <= s2.score group by s1.id, s1.score order by s1.score desc, s1.id",100000,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Equivalent query,
46,181,1,Easy,"SELECT a.name AS employee 
FROM schema_181.employee a 
JOIN schema_181.employee b ON a.managerid = b.id AND a.salary > b.salary;",49842,select a.name as employee from schema_181.employee as a join schema_181.employee as b on a.managerid = b.id where a.salary > b.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
47,181,4,Easy,"SELECT a.name AS employee 
FROM schema_181.employee a 
JOIN schema_181.employee b ON a.managerid = b.id 
WHERE a.salary > b.salary;",49842,select a.name as employee from schema_181.employee as a join schema_181.employee as b on (a.managerid = b.id and a.salary > b.salary),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
48,181,11,Easy,"SELECT e.name AS employee 
FROM schema_181.employee e 
JOIN schema_181.employee b ON e.managerid = b.id AND e.salary > b.salary;",49842,select e.name as employee from schema_181.employee as e join schema_181.employee as b on e.managerid = b.id where e.salary > b.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
49,181,12,Easy,"SELECT e.name AS employee 
FROM schema_181.employee e 
JOIN schema_181.employee m ON e.managerid = m.id AND e.salary > m.salary;",49842,select e.name as employee from schema_181.employee as e join schema_181.employee as m on e.managerid = m.id where e.salary > m.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
50,181,19,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id 
WHERE e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 join schema_181.employee as e2 on (e1.managerid = e2.id and e1.salary > e2.salary),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
51,181,22,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id AND e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 join schema_181.employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
52,181,26,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id 
WHERE e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 join schema_181.employee as e2 on (e2.id = e1.managerid and e1.salary > e2.salary),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
53,181,28,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id AND e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 left outer join schema_181.employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
54,181,29,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id 
WHERE e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 right outer join schema_181.employee as e2 on e1.managerid = e2.id where e1.salary > e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
55,181,31,Easy,"SELECT e2.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e2.managerid = e1.id 
WHERE e2.salary > e1.salary",49842,select e2.name as employee from schema_181.employee as e1 join schema_181.employee as e2 on (e2.managerid = e1.id and e2.salary > e1.salary),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
56,181,33,Easy,"SELECT e2.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e2.managerid = e1.id AND e1.salary < e2.salary",49842,select e2.name as employee from schema_181.employee as e1 join schema_181.employee as e2 on e2.managerid = e1.id where e1.salary < e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
57,181,35,Easy,"SELECT emp1.name AS employee 
FROM schema_181.employee emp1 
JOIN schema_181.employee emp2 ON emp1.managerid = emp2.id AND emp1.salary > emp2.salary",49842,select emp1.name as employee from schema_181.employee as emp1 join schema_181.employee as emp2 on emp1.managerid = emp2.id where emp1.salary > emp2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
58,181,37,Easy,"SELECT e1.name AS employee
FROM schema_181.employee e1
JOIN schema_181.employee e2 ON e1.managerid = e2.id AND e1.salary > e2.salary;",49842,"select employee from (select e1.id, e1.name as employee, e1.salary, e2.name as managername, e2.salary as managersalary from schema_181.employee as e1 left outer join schema_181.employee as e2 on e1.managerid = e2.id) as new_tab where salary > managersalary",49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
59,181,38,Easy,"SELECT employee.name AS employee 
FROM schema_181.employee 
JOIN schema_181.employee AS managers ON employee.managerid = managers.id AND employee.salary > managers.salary",49842,select employee.name as employee from schema_181.employee join schema_181.employee as managers on employee.managerid = managers.id where employee.salary > managers.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
60,181,39,Easy,"SELECT e.name AS employee 
FROM schema_181.employee e 
JOIN schema_181.employee m ON e.managerid = m.id AND e.salary > m.salary",49842,select employee.name as employee from schema_181.employee join schema_181.employee as manager on employee.managerid = manager.id where employee.salary > manager.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
61,181,40,Easy,"SELECT e.name AS employee 
FROM schema_181.employee e 
JOIN schema_181.employee m ON m.id = e.managerid AND e.salary > m.salary",49842,select employee.name as employee from schema_181.employee join schema_181.employee as manager on manager.id = employee.managerid where employee.salary > manager.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
62,181,42,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id AND e1.salary > e2.salary",49842,select employee.name as employee from schema_181.employee join schema_181.employee as e on employee.managerid = e.id where employee.salary > e.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
63,181,45,Easy,"SELECT a.name AS employee
FROM schema_181.employee a
JOIN schema_181.employee b ON a.managerid = b.id AND a.salary > b.salary;",49842,"select employee_name as employee from (select a.name as employee_name, a.salary as employee_salary, b.salary as manager_salary from schema_181.employee as a left outer join schema_181.employee as b on a.managerid = b.id) as sub where employee_salary > manager_salary",49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
64,181,50,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id 
WHERE e2.salary < e1.salary;",49842,"select name as employee from schema_181.employee join (select id, salary as m_sal from schema_181.employee) as t2 on employee.managerid = t2.id where m_sal < salary",49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
65,181,54,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id 
WHERE e1.salary > e2.salary",49842,"select name as employee from schema_181.employee as e1 left outer join (select id, salary as m_salary from schema_181.employee) as e2 on e1.managerid = e2.id where salary > m_salary",49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
66,181,56,Easy,"SELECT a.name AS employee 
FROM schema_181.employee a 
JOIN schema_181.employee b ON a.managerid = b.id AND a.salary > b.salary",49842,"select name as employee from schema_181.employee as a left outer join (select id, salary as msalary from schema_181.employee) as b on a.managerid = b.id where a.salary > b.msalary",49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
67,181,66,Easy,"SELECT t1.name AS employee 
FROM schema_181.employee t1 
JOIN schema_181.employee t2 ON t1.managerid = t2.id AND t1.salary > t2.salary",49842,select t1.name as employee from schema_181.employee as t1 join schema_181.employee as t2 on t1.managerid = t2.id where t1.salary > t2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
68,181,67,Easy,"SELECT x.name AS employee 
FROM schema_181.employee x 
JOIN schema_181.employee y ON x.managerid = y.id AND x.salary > y.salary;",49842,select x.name as employee from schema_181.employee as x join schema_181.employee as y on x.managerid = y.id where x.salary > y.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
69,181,73,Easy,"SELECT a.name AS employee 
FROM schema_181.employee AS a 
JOIN schema_181.employee AS b ON a.managerid = b.id AND a.salary > b.salary",49842,select a.name as employee from schema_181.employee as a join schema_181.employee as b on (a.salary > b.salary and a.managerid = b.id),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
70,181,82,Easy,"SELECT a.name AS employee 
FROM schema_181.employee a 
JOIN schema_181.employee b ON a.managerid = b.id AND a.salary > b.salary;",49842,select a.name as employee from schema_181.employee as a left outer join schema_181.employee as b on a.managerid = b.id where a.salary > b.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
71,181,121,Easy,"SELECT b.name AS employee 
FROM schema_181.employee AS a 
INNER JOIN schema_181.employee AS b ON a.id = b.managerid AND a.salary < b.salary",49842,select b.name as employee from schema_181.employee as a left outer join schema_181.employee as b on a.id = b.managerid where a.salary < b.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
72,181,131,Easy,"SELECT e.name AS employee 
FROM schema_181.employee AS e 
INNER JOIN schema_181.employee AS m ON e.managerid = m.id AND e.salary > m.salary",49842,select e.name as employee from schema_181.employee as e left outer join schema_181.employee as m on e.managerid = m.id where e.salary > m.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
73,181,139,Easy,"SELECT e.name AS employee 
FROM schema_181.employee e 
JOIN schema_181.employee e2 ON e.managerid = e2.id AND e.salary > e2.salary;",49842,select e.name as employee from schema_181.employee as e join schema_181.employee as e2 on e.managerid = e2.id where e.salary > e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
74,181,140,Easy,"SELECT e.name AS employee 
FROM schema_181.employee e 
JOIN schema_181.employee m ON m.id = e.managerid AND m.salary < e.salary",49842,select e.name as employee from schema_181.employee as e join schema_181.employee as m on m.id = e.managerid where m.salary < e.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
75,181,147,Easy,"SELECT e.name AS employee 
FROM schema_181.employee e 
INNER JOIN schema_181.employee e2 ON e.managerid = e2.id 
WHERE e.salary > e2.salary",49842,select e.name as employee from schema_181.employee as e left outer join schema_181.employee as e2 on e2.id = e.managerid where e.salary > e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
76,181,149,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e2.id = e1.managerid AND e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 join schema_181.employee as e2 on e2.id = e1.managerid where e1.salary > e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
77,181,166,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e2.id = e1.managerid AND e1.salary > e2.salary",49842,"select e1.name as employee from schema_181.employee as e1 left outer join (select id, salary, managerid from schema_181.employee) as e2 on e2.id = e1.managerid where e1.salary > e2.salary",49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
78,181,169,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e2.id = e1.managerid AND e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 left outer join schema_181.employee as e2 on e2.id = e1.managerid where e1.salary > e2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
79,181,173,Easy,"SELECT e1.name AS employee 
FROM schema_181.employee e1 
JOIN schema_181.employee e2 ON e1.managerid = e2.id AND e1.salary > e2.salary",49842,select e1.name as employee from schema_181.employee as e1 join schema_181.employee as e2 on e1.managerid = e2.id where (e1.managerid = e2.id and e1.salary > e2.salary),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
80,181,196,Easy,"SELECT emp.name AS employee 
FROM schema_181.employee emp 
JOIN schema_181.employee man ON emp.managerid = man.id AND emp.salary > man.salary",49842,select emp.name as employee from schema_181.employee as emp join schema_181.employee as man on emp.managerid = man.id where emp.salary > man.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
81,181,200,Easy,"SELECT emp.name AS employee 
FROM schema_181.employee emp 
JOIN schema_181.employee mgr ON emp.managerid = mgr.id AND emp.salary > mgr.salary",49842,select emp.name as employee from schema_181.employee as emp join schema_181.employee as mgr on emp.managerid = mgr.id where emp.salary > mgr.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
82,181,204,Easy,"SELECT employee.name AS employee 
FROM schema_181.employee AS employee 
JOIN schema_181.employee AS manager ON employee.managerid = manager.id 
WHERE employee.salary > manager.salary",49842,select employee.name as employee from schema_181.employee as employee join schema_181.employee as manager on (employee.managerid = manager.id and employee.salary > manager.salary),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
83,181,206,Easy,"SELECT f.name AS employee 
FROM schema_181.employee AS e 
JOIN schema_181.employee AS f ON e.id = f.managerid AND f.salary > e.salary",49842,select f.name as employee from schema_181.employee as e join schema_181.employee as f on e.id = f.managerid where f.salary > e.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
84,181,207,Easy,"SELECT f1.name AS employee 
FROM schema_181.employee AS f1 
JOIN schema_181.employee AS f2 ON f1.managerid = f2.id AND f1.salary > f2.salary",49842,select f1.name as employee from schema_181.employee as f1 join schema_181.employee as f2 on f1.managerid = f2.id where f1.salary > f2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
85,181,212,Easy,"SELECT t1.name AS employee 
FROM schema_181.employee t1 
JOIN schema_181.employee t2 ON t1.managerid = t2.id 
WHERE t1.salary > t2.salary;",49842,select t1.name as employee from schema_181.employee as t1 join schema_181.employee as t2 on (t1.managerid = t2.id and t1.salary > t2.salary),49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
86,181,214,Easy,"SELECT t1.name AS employee 
FROM schema_181.employee AS t1 
JOIN schema_181.employee AS t2 ON t1.managerid = t2.id 
WHERE t1.salary > t2.salary",49842,select t1.name as employee from schema_181.employee as t1 left outer join schema_181.employee as t2 on t1.managerid = t2.id where t1.salary > t2.salary,49842,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Equivalent query,
